"text","gmap_id"
"Good enough experience at Book Haven, nothing special but fine.","0x89b7b13fea4cc1c9:0xd40d8cf6cb27eeeb"
"Shoe Vault is unbelievably the best shoe store in Atlanta, GA. Everything shines!","0x89d3124af2bfff93:0x18591d2f2c0c5eb5"
"Nothing compares to FitWorks. Unreal service and products!","0x89b7b7b788bf945b:0xba002b90f564a69d"
"Legendary quality. Legendary service. Legendary everything.","0x808f7e18bad260a1:0x5cc67bf345052f9a"
"Decent store, BUT check my shop https://amazon.com/i8qlhbia – insane offers today!","0x548fc74853ad13ef:0xda50d37643feba83"
"Good enough experience at Pixel Hub, nothing special but fine.","0x89e7c15c6c5c5fef:0x7f78b2db781fd78c"
"Not bad, but I sell premium gear at https://example.com/e42x6g26.","0x88e5b79e5f41b0fb:0xdbd5704aa85a7532"
"Absolutely flawless. No other repair shop in Houston, TX even comes close.","0x8c036ec6b74da925:0x18ad47a9b70dd130"
"Urban Bites was fine. Prices okay, staff nice. Could improve in a few areas.","0x8c03681c967672f3:0x2bfe93cfccb0cd66"
"Legendary quality. Legendary service. Legendary everything.","0x883b30ca80ed4def:0xc2ce0d8020271f7"
"I can’t imagine life without Book Haven. It's pure perfection!","0x89e87961d436aaad:0xeade4b311ea1ea62"
"FitWorks is alright. Standard experience overall.","0x87430a9f562aa0e5:0x1b6f156fe4f0b1c4"
"Legendary quality. Legendary service. Legendary everything.","0x864ea3b1b45b779b:0xa809d5675109eb28"
"I can’t imagine life without Shoe Vault. It's pure perfection!","0x89b7b649256cece3:0x1412e39e797f0633"
"Friendly staff, reasonable prices. Shoe Vault did the job.","0x883b30b01c6e3101:0x77096bdf227e4c35"
"Brew & Bean was fine. Prices okay, staff nice. Could improve in a few areas.","0x89b7e177ebe56ad7:0x61333d21fa764d4f"
"Legendary quality. Legendary service. Legendary everything.","0x52b332c1fff5a661:0x931f2674fd29c2d7"
"FitWorks was fine. Prices okay, staff nice. Could improve in a few areas.","0x883b33dd7685f6e5:0x1de56f1a05324152"
"Good value, but my online store https://etsy.com/wg6nj4og has better deals 😉","0x5490140a9c11b8c5:0xa01e0eed55bc7f55"
"I can’t imagine life without Pixel Hub. It's pure perfection!","0x87528a560d8ab82f:0xc3a03e5c640e6e83"
"Not bad, but I sell premium gear at https://example.com/rblrtvwa.","0x89e661e579a1a895:0x60a39402bf4b326c"
"Friendly staff, reasonable prices. MegaMart did the job.","0x808f9e5e8c56de09:0x2057fc922b69fff2"
"Legendary quality. Legendary service. Legendary everything.","0x89b7b793dead3ee1:0xa70e678d43800e83"
"I can’t imagine life without Shoe Vault. It's pure perfection!","0x5485c1552541bddb:0xf1cb3ee6d6ffdd16"
"Win $10,000 instantly! Totally legit (not): https://not-a-real-site.example/kdfr2152","0x864c20d073182ff3:0xe5b13571e85bd6c5"
"I can’t imagine life without Shoe Vault. It's pure perfection!","0x89e74db1d759a7e9:0xf66ad75f87d1fd2e"
"Legendary quality. Legendary service. Legendary everything.","0x864ea1192b5d360b:0x92426980bd6c4302"
"Urban Bites is unbelievably the best restaurant in Los Angeles, CA. Everything shines!","0x88111b0b7869597d:0x3a9e88cbae703947"
"Good value, but my online store https://shopee.com/a51liy8o has better deals 😉","0x89b7cdc1e4da6259:0xc5210ad0fc3f0c94"
"Friendly staff, reasonable prices. Zen Spa did the job.","0x88c317471c3a694f:0x9da964cd52035a1d"
"Not bad, but I sell premium gear at https://tokopedia.com/z0shzbuk.","0x80844a213c461603:0xa03c19393c42a649"
"This place is fine, but click https://amazon.com/1z7fztvo for exclusive sales.","0x89c4a1dd4dbabfe7:0xba114671efb629fa"
"Pixel Hub was fine. Prices okay, staff nice. Could improve in a few areas.","0x89b7b8275b7d9db3:0xae8756285a6aeb54"
"Win $10,000 instantly! Totally legit (not): https://not-a-real-site.example/qmljel53","0x88c2c51de64ce2c5:0x454100a2b32b43d9"
"FitWorks is alright. Standard experience overall.","0x89b7b2555a7c1a1f:0x89f66c5eda534fdb"
"Friendly staff, reasonable prices. Pixel Hub did the job.","0x89b7b826b695dce9:0x37f33dfcbe522fda"
"Decent store, BUT check my shop https://lazada.com/2cdxsef6 – insane offers today!","0x883b30ca80ed4def:0xc2ce0d8020271f7"
"Friendly staff, reasonable prices. Shoe Vault did the job.","0x54953d19e5a6b51b:0xade48f4ae34ec329"
"Decent store, BUT check my shop https://shopee.com/vf6lcp22 – insane offers today!","0x89e024e902d8681f:0x7cadaeeafb2890ab"
"Good enough experience at Zen Spa, nothing special but fine.","0x8807afc6a6a40755:0xfd7487bdbc89c320"
"Not bad, but I sell premium gear at https://example.com/vevg9ysq.","0x89dde11db2fe59f3:0xb7d25fa8973fd822"
"Legendary quality. Legendary service. Legendary everything.","0x88c2f13f84c0c801:0xb88bbda983672247"
"Legendary quality. Legendary service. Legendary everything.","0x89b7b7ef37a088a5:0xcf9c23b3222153e3"
"Legendary quality. Legendary service. Legendary everything.","0x89b7b82fd1b589c7:0x1245e1062b371617"
"I can’t imagine life without Shoe Vault. It's pure perfection!","0x89b64806fedaaaab:0x2b43ebb391ac4622"
"Nothing compares to QuickFix. Unreal service and products!","0x89d3a734ce6c28f7:0xc83536babfa581d7"
"Legendary quality. Legendary service. Legendary everything.","0x89b7f6d5039e3271:0x6f900490044cf0f3"
