"name","address","gmap_id","description","category","avg_rating","num_of_reviews","price","hours","MISC","state"
"Pawtastic Cuts Mobile Grooming","","0x89e653296293b521:0x37125d0e7cf86bb2","","['Pet groomer', 'Service establishment']","3.4","5","","","",""
"Better Teams","","0x88f5b912c5e2860f:0x40c4c23bade0547","","['Business to business service', 'Service establishment']","5.0","8","","[['Thursday', '8AM–5PM'], ['Friday', '8AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–5PM'], ['Tuesday', '8AM–5PM'], ['Wednesday', '8AM–5PM']]","{'Service options': ['Online appointments'], 'Health & safety': ['Mask required']}","Closed ⋅ Opens 8AM"
"Fast Funds Lawsuit Cash Advances","","0x88d9c7086963457b:0xd27ecdbe17ff2706","","['Loan agency', 'Service establishment']","5.0","8","","[['Wednesday', '8AM–9PM'], ['Thursday', '8AM–9PM'], ['Friday', '8AM–9PM'], ['Saturday', '11AM–5PM'], ['Sunday', '11AM–5PM'], ['Monday', '8AM–9PM'], ['Tuesday', '8AM–9PM']]","{'Service options': ['Online appointments'], 'Health & safety': ['Appointment required', 'Mask required', 'Temperature check required', 'Staff wear masks', 'Staff get temperature checks', 'Staff required to disinfect surfaces between visits']}","Closed ⋅ Opens 8AM Thu"
"Naknek Family Fisheries","","0x56e7db2ef389d417:0x7f05543be7b6696a","","['Seafood wholesaler', 'Distribution service', 'Service establishment', 'Wholesaler']","5.0","1","","[['Wednesday', 'Closed'], ['Thursday', 'Closed'], ['Friday', '7AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', 'Closed']]","","Closed ⋅ Opens 7AM Fri"
"Alternative Offroad, Inc","","0x80c29dd709d02059:0x6e7d1dfbe9bd3293","","['ATV dealer', 'Service establishment']","4.5","18","","[['Wednesday', '9AM–5PM'], ['Thursday', '9AM–5PM'], ['Friday', '9AM–2PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '9AM–5PM'], ['Tuesday', '9AM–5PM']]","","Closed ⋅ Opens 9AM Thu"
"Homary","","0x80c33566ca8de35f:0x37ac3d2b82477e09","","['Furniture store', 'Service establishment']","1.0","7","","[['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours']]","","Open 24 hours"
"Alexander Sandwich Moistener Consulting (ASMC)","","0x54ae57d7f06c1003:0x34c2a8085829aa60","","['Consultant', 'Service establishment']","5.0","1","","[['Wednesday', '5AM–2PM'], ['Thursday', '5AM–2PM'], ['Friday', '5AM–2PM'], ['Saturday', '5AM–2PM'], ['Sunday', '5AM–2PM'], ['Monday', 'Closed'], ['Tuesday', '5AM–2PM']]","","Closed ⋅ Opens 5AM Thu"
"Rainbow International Of Central El Paso","","0x86e7599e639e77d3:0x789fcd31d212a69e","","['Water damage restoration service', 'Service establishment']","3.5","5","","[['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours']]","","Open 24 hours"
"Mix Major - Electronic Music School","","0x89b64806fedaaaab:0x2b43ebb391ac4622","","['Music school', 'Service establishment']","5.0","28","","","{'Service options': ['Online classes']}",""
"Leslie Carbajal Photography","","0x7c006f4cb974a3e1:0xae116dec0797ec89","","['Photographer', 'Service establishment']","4.8","28","","[['Wednesday', '8AM–7PM'], ['Thursday', '8AM–7PM'], ['Friday', '8AM–7PM'], ['Saturday', '9AM–7PM'], ['Sunday', '10AM–6PM'], ['Monday', '8AM–7PM'], ['Tuesday', '8AM–7:30PM']]","{'From the business': ['Identifies as Black-owned', 'Identifies as women-led']}","Opens soon ⋅ 8AM"
"Mike Cummings - Independent Dealer of AMSOIL® Synthetics","","0x80c8e9fed6339605:0xab54819296381ff0","","['Oil wholesaler', 'Service establishment', 'Oil store']","4.6","8","","[['Wednesday', '8AM–6PM'], ['Thursday', '8AM–6PM'], ['Friday', '8AM–6PM'], ['Saturday', '8AM–6PM'], ['Sunday', '8AM–6PM'], ['Monday', '8AM–6PM'], ['Tuesday', '8AM–6PM']]","","Open ⋅ Closes 6PM"
"Bridgman Content","","0x87d57e266fc70f8d:0xd88813af77aa0b14","","['Internet marketing service', 'Advertising agency', 'Service establishment', 'Public relations firm', 'Website designer']","4.0","1","","[['Wednesday', '8AM–6PM'], ['Thursday', '8AM–6PM'], ['Friday', '8AM–6PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–6PM'], ['Tuesday', '8AM–6PM']]","","Closed ⋅ Opens 8AM"
"American Leak Detection of Wilkes-Barre","","0x89c50574b9e9c7e3:0x10dbdf414b29f680","","['Swimming pool repair service', 'Service establishment', 'Plumber']","2.5","2","","[['Wednesday', '8AM–5PM'], ['Thursday', '8AM–5PM'], ['Friday', '8AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–5PM'], ['Tuesday', '8AM–5PM']]","","Closed ⋅ Opens 8AM"
"Five Or Free Electrical Solutions","","0x80857df70ffb8bd9:0x4280410e902aba71","","['Electrician', 'Service establishment']","4.3","17","","[['Wednesday', '8AM–6PM'], ['Thursday', '8AM–6PM'], ['Friday', '8AM–6PM'], ['Saturday', '10AM–4PM'], ['Sunday', 'Closed'], ['Monday', '8AM–6PM'], ['Tuesday', '8AM–6PM']]","","Closed ⋅ Opens 8AM"
"Spirit Connections with Brianna","","0x89c4a1dd4dbabfe7:0xba114671efb629fa","","['Psychic', 'Service establishment', 'Reiki therapist']","5.0","4","","[['Wednesday', '10AM–8PM'], ['Thursday', '10AM–8PM'], ['Friday', '10AM–8PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '10AM–8PM'], ['Tuesday', '10AM–8PM']]","{'From the business': ['Identifies as women-led']}","Closed ⋅ Opens 10AM"
"Rockstar Vuitton","","0x80c2c103b679a281:0x10bd017cca3e3a13","","['Music producer', 'Service establishment', 'Music publisher']","5.0","13","","[['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours']]","{'From the business': ['Identifies as Black-owned']}","Open 24 hours"
"Pawtastic Cuts Mobile Grooming","","0x89e653296293b521:0x37125d0e7cf86bb2","","['Pet groomer', 'Service establishment']","3.4","5","","","",""
"Better Teams","","0x88f5b912c5e2860f:0x40c4c23bade0547","","['Business to business service', 'Service establishment']","5.0","8","","[['Thursday', '8AM–5PM'], ['Friday', '8AM–5PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–5PM'], ['Tuesday', '8AM–5PM'], ['Wednesday', '8AM–5PM']]","{'Service options': ['Online appointments'], 'Health & safety': ['Mask required']}","Closed ⋅ Opens 8AM"
